epoch,loss
1,4416.553923576109
2,2663.772222703503
3,2442.4159545898438
4,2213.2469620243196
5,2162.73436515562
6,2207.8142168598793
7,2039.3981067288307
8,1953.998537125126
9,2057.933587843372
10,1889.2186948714718
11,1909.8684456117692
12,1842.3124094317036
13,1855.959927466608
14,1782.7191063665575
15,1735.2677513860888
16,1723.0921296150455
17,1805.481250393775
18,1672.4371977775327
19,1760.451441611013
20,1853.8570005355343
21,1630.7483205487652
22,1619.7300572549143
23,1594.594946092175
24,1653.8902233492943
25,1734.3660809916835
26,1609.9349010836693
27,1675.7790743920111
28,1623.2711644326487
29,1633.4826443579889
30,1635.9708311019406
31,1682.8712739021548
32,1578.2320005355343
33,1671.7439752394152
34,1628.3397728704638
35,1611.621117376512
36,1569.3326022240424
37,1475.1737208212576
38,1563.057834748299
39,1528.3573677309098
40,1609.717007544733
41,1568.8286890829763
42,1509.4537392893146
43,1594.0352192540322
44,1553.1500952935987
45,1490.985093639743
46,1568.6902820217995
47,1501.9542984501009
48,1483.0113131615424
49,1520.1276579826108
50,1470.3982977098035
51,1470.1604486280871
52,1473.8851082094254
53,1456.7398543819304
54,1470.729450841104
55,1442.5399996849799
56,1419.8209730579008
57,1412.7860973727318
58,1490.8936147382183
59,1493.158488612021
60,1454.7121306388608
61,1427.2481906029486
62,1486.883097987021
63,1508.244890766759
64,1406.1283077116937
65,1455.5103966497607
66,1437.589639971333
67,1551.8750364242062
68,1427.358913298576
69,1494.0247290826612
70,1460.3147169543852
71,1405.2581826486896
72,1491.9757552608366
73,1444.7694456038937
74,1522.6172081731982
75,1449.161628969254
76,1441.6726930679813
77,1456.6797633017263
78,1413.504109044229
79,1405.0410904422884
80,1423.9026636923513
81,1417.5850032683343
82,1406.9566768523187
83,1464.2383806782384
84,1507.839600593813
85,1406.6123617849041
86,1393.6275172079763
87,1499.8219378071446
88,1379.0354486280871
89,1435.0357311617943
90,1391.306667204826
91,1401.235863470262
92,1355.2225597750755
93,1428.4018948462701
94,1410.1222622779107
95,1500.7429583149571
96,1473.3033900107107
97,1412.1392103625883
98,1346.0852680821572
99,1370.3563744329638
100,1394.5870184129285
101,1434.5599345545616
102,1288.347176828692
103,1475.3868841355848
104,1320.458503969254
105,1416.4792982532133
106,1294.8640894736013
107,1337.3318599577874
108,1393.6706326392389
109,1302.2967755717616
110,1403.2065980972782
111,1416.520749984249
112,1417.4835185389366
113,1458.0600930490803
114,1373.7326463268648
115,1370.0871946273312
116,1351.2407787692161
117,1381.5970636183215
118,1317.4988698651714
119,1472.925098050025
120,1387.7996708039313
121,1291.025187830771
122,1317.4056800103956
123,1396.4173928537678
124,1430.7956040905367
125,1315.872316422001
126,1401.667446997858
127,1345.1229563067036
128,1366.980958015688
129,1394.9950079148816
130,1354.0551098239036
131,1329.4298459945187
132,1384.031508907195
133,1432.2119012648059
134,1341.4410715410786
135,1360.2405769594254
136,1388.1739236154865
137,1429.402571155179
138,1381.446525327621
139,1348.1050779281125
140,1334.0034908171624
141,1405.198016751197
142,1318.2894808861518
143,1277.9289993778352
144,1339.901334701046
145,1333.6715412755166
146,1313.8211226924773
147,1300.6686007591986
148,1329.7041212512602
149,1323.409896358367
150,1318.189703172253
151,1305.3399697580646
152,1382.8988184775076
153,1399.0584697108116
154,1271.9882192304058
155,1271.118403280935
156,1367.173088812059
157,1343.1516950053554
158,1313.356419717112
159,1293.1642771074848
160,1309.5863608083416
161,1298.3317664361768
162,1306.5797581826487
163,1238.8407208842616
164,1308.2457383678804
165,1280.9783925702495
166,1355.3883115706906
